Tanggal,PM10,PM2.5,SO2,CO,O3,NO2,HC
2024-05-26,5.0,16.0,,,,,1.0
2024-05-27,5.0,14.0,,,,,2.0
2024-05-28,7.0,18.0,,,,,1.0
2024-05-29,6.0,19.0,,,,,2.0
2024-05-30,18.0,10.0,,,,,2.0
2024-05-31,13.0,15.0,,,,,1.0
2024-06-01,10.0,13.0,,,,,2.0
2024-06-02,21.0,15.0,,,,,1.0
2024-06-03,1.0,20.0,,,,,1.0
2024-06-04,7.0,26.0,,,,116.0,2.0
2024-06-05,,17.0,20.0,1106.0,19.0,177.0,1.0
2024-06-06,,11.0,25.0,982.0,21.0,,1.0
2024-06-07,1.0,25.0,27.0,1056.0,20.0,197.0,1.0
2024-06-08,,25.0,30.0,992.0,18.0,,1.0
2024-06-09,5.0,13.0,38.0,928.0,19.0,157.0,1.0
2024-06-10,,14.0,,,,,2.0
2024-06-11,,14.0,,,,,2.0
2024-06-12,1.0,24.0,14.0,1333.0,2.0,24.0,2.0
2024-06-13,2.0,28.0,23.0,1297.0,2.0,48.0,2.0
2024-06-14,16.0,32.0,,,,,1.0
2024-06-15,,32.0,,,,192.0,2.0
2024-06-16,,20.0,,,,,2.0
2024-06-17,5.0,20.0,,,,184.0,2.0
2024-06-18,5.0,18.0,,,3.0,182.0,2.0
2024-06-19,1.0,20.0,,,8.0,197.0,2.0
2024-06-20,18.0,28.0,,64.0,18.0,161.0,3.0
2024-06-21,,7.0,,,16.0,160.0,2.0
2024-06-22,,8.0,,,14.0,166.0,2.0
2024-06-23,,17.0,,,34.0,107.0,3.0
2024-06-24,,25.0,,,27.0,94.0,1.0
2024-06-25,1.0,18.0,,,32.0,134.0,2.0
2024-06-26,,21.0,10.0,1392.0,106.0,107.0,2.0
2024-06-27,2.0,11.0,11.0,1426.0,103.0,89.0,2.0
2024-06-28,9.0,23.0,11.0,1397.0,92.0,125.0,1.0
2024-06-29,,19.0,,,,,
2024-06-30,,,,,,,
2024-07-01,2.0,17.0,,,2.0,,
2024-07-02,6.0,18.0,,,11.0,118.0,3.0
2024-07-03,5.0,16.0,,,6.0,95.0,2.0
2024-07-04,14.0,26.0,,,4.0,94.0,2.0
2024-07-05,,20.0,,,3.0,,2.0
2024-07-06,10.0,16.0,,,2.0,,2.0
2024-07-07,,17.0,,,,,1.0
2024-07-08,1.0,15.0,,,,,2.0
2024-07-09,,14.0,,,,,2.0
2024-07-10,1.0,11.0,,,2.0,,2.0
2024-07-11,1.0,23.0,,,2.0,,2.0
2024-07-12,,18.0,,,4.0,,2.0
2024-07-13,1.0,24.0,,,16.0,,2.0
2024-07-14,1.0,22.0,,,14.0,,2.0
2024-07-15,,26.0,,,12.0,,2.0
2024-07-16,1.0,23.0,,,12.0,,2.0
2024-07-17,,16.0,,,10.0,,2.0
2024-07-18,,21.0,,,11.0,,2.0
2024-07-19,3.0,24.0,,2179.0,17.0,,2.0
2024-07-20,3.0,26.0,,,21.0,,2.0
2024-07-21,,28.0,,,,,1.0
2024-07-22,2.0,35.0,,,,,2.0
2024-07-23,6.0,27.0,,,,,1.0
2024-07-24,10.0,25.0,,,,98.0,1.0
2024-07-25,,27.0,18.0,1165.0,40.0,48.0,4.0
2024-07-26,41.0,42.0,27.0,833.0,37.0,33.0,6.0
2024-07-27,37.0,35.0,2.0,1042.0,36.0,43.0,7.0
2024-07-28,36.0,34.0,1.0,1081.0,34.0,23.0,5.0
2024-07-29,27.0,22.0,1.0,1138.0,34.0,27.0,6.0
2024-07-30,24.0,22.0,1.0,1224.0,25.0,5.0,8.0
2024-07-31,,,,,,,
2024-08-01,18.0,16.0,1.0,1173.0,27.0,12.0,7.0
2024-08-02,35.0,33.0,1.0,1339.0,24.0,12.0,8.0
2024-08-03,23.0,19.0,1.0,1167.0,29.0,15.0,7.0
2024-08-04,9.0,11.0,,1080.0,28.0,123.0,8.0
2024-08-05,,19.0,,,,134.0,4.0
2024-08-06,,30.0,,,,136.0,4.0
2024-08-07,1.0,16.0,,,,120.0,5.0
2024-08-08,,27.0,,,,142.0,5.0
2024-08-09,,18.0,,,,122.0,6.0
2024-08-10,,21.0,,,,138.0,5.0
2024-08-11,,23.0,,,,130.0,5.0
2024-08-12,1.0,20.0,,,,144.0,4.0
2024-08-13,,33.0,,,,142.0,4.0
2024-08-14,1.0,19.0,,,,139.0,5.0
2024-08-15,,16.0,,,,132.0,5.0
2024-08-16,1.0,20.0,,,,115.0,3.0
2024-08-17,1.0,20.0,,,,137.0,4.0
2024-08-18,,17.0,,,,140.0,3.0
2024-08-19,2.0,18.0,,,,140.0,3.0
2024-08-20,,11.0,,,,120.0,3.0
2024-08-21,28.0,20.0,,,,113.0,2.0
2024-08-22,,13.0,,,,,4.0
2024-08-23,,16.0,,,,,6.0
2024-08-24,,31.0,,,,189.0,4.0
2024-08-25,1.0,31.0,,,,,4.0
2024-08-26,1.0,30.0,,,,,5.0
2024-08-27,,24.0,17.0,1530.0,26.0,131.0,7.0
2024-08-28,1.0,40.0,24.0,1341.0,26.0,126.0,7.0
2024-08-29,,46.0,22.0,1462.0,20.0,131.0,8.0
2024-08-30,,28.0,24.0,1214.0,22.0,123.0,7.0
2024-08-31,,,,,,,
2024-09-01,,35.0,25.0,1367.0,23.0,120.0,7.0
2024-09-02,1.0,43.0,21.0,1335.0,29.0,114.0,8.0
2024-09-03,1.0,23.0,24.0,1314.0,21.0,115.0,8.0
2024-09-04,,29.0,22.0,1360.0,19.0,134.0,9.0
2024-09-05,,44.0,20.0,1435.0,27.0,130.0,7.0
2024-09-06,1.0,26.0,23.0,1261.0,25.0,118.0,8.0
2024-09-07,1.0,20.0,23.0,1242.0,25.0,113.0,7.0
2024-09-08,,18.0,23.0,1266.0,22.0,116.0,6.0
2024-09-09,,22.0,24.0,1345.0,17.0,137.0,8.0
2024-09-10,,19.0,20.0,1314.0,22.0,142.0,8.0
2024-09-11,1.0,23.0,23.0,1319.0,19.0,140.0,5.0
2024-09-12,,10.0,22.0,1272.0,16.0,89.0,6.0
2024-09-13,1.0,16.0,,,,33.0,6.0
2024-09-14,,9.0,,,,38.0,6.0
2024-09-15,,16.0,,,,77.0,3.0
2024-09-16,,16.0,,,,82.0,6.0
2024-09-17,,17.0,,,,100.0,5.0
2024-09-18,,16.0,22.0,811.0,42.0,87.0,5.0
2024-09-19,4.0,23.0,16.0,940.0,41.0,71.0,
2024-09-20,,26.0,19.0,888.0,40.0,62.0,
2024-09-21,34.0,17.0,28.0,884.0,56.0,102.0,
2024-09-22,54.0,60.0,44.0,961.0,42.0,91.0,
2024-09-23,31.0,26.0,31.0,1151.0,4.0,51.0,
2024-09-24,27.0,21.0,12.0,1246.0,2.0,36.0,
2024-09-25,37.0,31.0,11.0,1271.0,39.0,28.0,
2024-09-26,18.0,15.0,12.0,1166.0,55.0,159.0,4.0
2024-09-27,18.0,15.0,,,,174.0,4.0
2024-09-28,27.0,23.0,,,,170.0,4.0
2024-09-29,24.0,20.0,,,,181.0,3.0
2024-09-30,32.0,30.0,,,,178.0,4.0
2024-10-01,23.0,19.0,,,,170.0,4.0
2024-10-02,26.0,21.0,36.0,1003.0,34.0,159.0,2.0
2024-10-03,21.0,18.0,42.0,1050.0,35.0,98.0,5.0
2024-10-04,26.0,22.0,,,,75.0,2.0
2024-10-05,18.0,16.0,,,,,3.0
2024-10-06,9.0,8.0,,,,,3.0
2024-10-07,26.0,20.0,,,,,4.0
2024-10-08,31.0,27.0,,,,183.0,3.0
2024-10-09,29.0,23.0,,,,,3.0
2024-10-10,21.0,18.0,,,,,3.0
2024-10-11,23.0,20.0,,,,137.0,2.0
2024-10-12,11.0,10.0,,,,142.0,2.0
2024-10-13,6.0,6.0,,,,161.0,5.0
2024-10-14,13.0,11.0,,,,133.0,4.0
2024-10-15,16.0,12.0,,,,173.0,2.0
2024-10-16,33.0,29.0,,,,,2.0
2024-10-17,30.0,25.0,15.0,727.0,37.0,118.0,4.0
2024-10-18,12.0,11.0,17.0,827.0,55.0,153.0,
2024-10-19,24.0,20.0,14.0,880.0,47.0,98.0,
2024-10-20,25.0,19.0,16.0,854.0,47.0,104.0,
2024-10-21,26.0,22.0,17.0,811.0,42.0,91.0,
2024-10-22,43.0,39.0,13.0,921.0,49.0,85.0,4.0
2024-10-23,31.0,27.0,,,,101.0,2.0
2024-10-24,32.0,29.0,,,,122.0,3.0
2024-10-25,49.0,41.0,,60.0,,100.0,2.0
2024-10-26,33.0,27.0,,,,92.0,3.0
2024-10-27,45.0,41.0,,,,122.0,3.0
2024-10-28,37.0,30.0,,,,103.0,3.0
2024-10-29,39.0,33.0,,,,153.0,4.0
2024-10-30,23.0,19.0,,,,124.0,4.0
2024-10-31,28.0,23.0,,,,126.0,2.0
2024-11-01,18.0,15.0,,,,114.0,2.0
2024-11-02,24.0,20.0,,,,,2.0
2024-11-03,24.0,17.0,,,,,3.0
2024-11-04,16.0,15.0,,,,,3.0
2024-11-05,27.0,24.0,,,,131.0,3.0
2024-11-06,30.0,24.0,,,,114.0,4.0
2024-11-07,14.0,12.0,,,,172.0,3.0
2024-11-08,27.0,21.0,,,,118.0,4.0
2024-11-09,35.0,31.0,,,1.0,,2.0
2024-11-10,13.0,10.0,,,,,4.0
2024-11-11,22.0,18.0,,,3.0,,4.0
2024-11-12,17.0,15.0,,,,,
2024-11-13,30.0,23.0,,,,,
2024-11-14,26.0,23.0,,,1.0,,
2024-11-15,32.0,26.0,,,,,
2024-11-16,20.0,17.0,,,,,
2024-11-17,13.0,10.0,,,,,
2024-11-18,13.0,10.0,,,,,
2024-11-19,21.0,18.0,,,,,
2024-11-20,18.0,15.0,,,,,
2024-11-21,19.0,16.0,,,,,
2024-11-22,17.0,13.0,,,,,
2024-11-23,21.0,18.0,,,,,
2024-11-24,31.0,27.0,,,,,
2024-11-25,28.0,23.0,,,,,
2024-11-26,22.0,18.0,,,,,
2024-11-27,8.0,7.0,,,,,
2024-11-28,9.0,8.0,,,,,
2024-11-29,12.0,10.0,,,,,
2024-11-30,27.0,23.0,,,,,
2024-12-01,19.0,17.0,,,,25.0,3.0
2024-12-02,22.0,18.0,,,,28.0,3.0
2024-12-03,29.0,24.0,,,,35.0,4.0
2024-12-04,34.0,27.0,,,,33.0,5.0
2024-12-05,40.0,33.0,,,,36.0,4.0
2024-12-06,38.0,28.0,,,,83.0,3.0
2024-12-07,40.0,30.0,,,,155.0,3.0
2024-12-08,34.0,27.0,,,,141.0,2.0
2024-12-09,19.0,15.0,,,,,3.0
2024-12-10,20.0,17.0,,,,,3.0
2024-12-11,15.0,12.0,,,,,2.0
2024-12-12,11.0,9.0,,,,161.0,2.0
2024-12-13,28.0,25.0,,,,162.0,2.0
2024-12-14,23.0,21.0,,,,168.0,3.0
2024-12-15,27.0,22.0,,,,171.0,6.0
2024-12-16,31.0,25.0,,,,172.0,2.0
2024-12-17,20.0,18.0,,,,180.0,3.0
2024-12-18,9.0,9.0,,,,193.0,3.0
2024-12-19,7.0,6.0,9.0,1117.0,80.0,180.0,4.0
2024-12-20,14.0,12.0,10.0,1171.0,79.0,184.0,
2024-12-21,19.0,17.0,10.0,1174.0,81.0,176.0,
2024-12-22,15.0,12.0,,,,,2.0
2024-12-23,14.0,12.0,,,,,3.0
2024-12-24,28.0,24.0,,,,,2.0
2024-12-25,13.0,10.0,,,,59.0,4.0
2024-12-26,22.0,18.0,,,,51.0,3.0
2024-12-27,38.0,31.0,,,,88.0,3.0
2024-12-28,25.0,19.0,,,,,4.0
2024-12-29,20.0,15.0,,,,,3.0
2024-12-30,10.0,8.0,,,,,3.0
2024-12-31,21.0,16.0,,,,,2.0
